experiment;approach;model;k;sim_measure;agg_method;OneHit;PrecisionK;R-Precision
25%;graph;item;5;wpa;highest-similarity;0,981382979;0,690957447;0,620109977
25%;graph;item;10;aa;highest-similarity;0,994680851;0,57712766;0,608832266
25%;graph;item;10;cn;highest-similarity;0,994680851;0,581914894;0,606612493
25%;graph;item;10;ew;highest-similarity;0,994680851;0,574734043;0,610546693
25%;graph;item;10;jn;highest-similarity;0,994680851;0,570478723;0,589417421
25%;graph;item;10;pa;highest-similarity;0,994680851;0,585638298;0,606198368
25%;graph;item;10;waa;highest-similarity;0,994680851;0,588031915;0,619700812
25%;graph;item;10;wcn;highest-similarity;0,994680851;0,588031915;0,620348657
25%;graph;item;10;wpa;highest-similarity;0,994680851;0,588031915;0,620109977
25%;graph;item;3;aa;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;3;cn;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;3;ew;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;3;jn;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;3;pa;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;3;waa;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;3;wcn;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;3;wpa;simple_voting;0,890957447;0,602836879;0,476755685
25%;graph;item;5;aa;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;5;cn;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;5;ew;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;5;jn;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;5;pa;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;5;waa;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;5;wcn;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;5;wpa;simple_voting;0,944148936;0,506382979;0,476755685
25%;graph;item;10;aa;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;10;cn;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;10;ew;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;10;jn;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;10;pa;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;10;waa;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;10;wcn;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;10;wpa;simple_voting;0,994680851;0,438829787;0,476755685
25%;graph;item;3;aa;weighted_voting;0,95212766;0,711879433;0,604903091
25%;graph;item;3;cn;weighted_voting;0,968085106;0,764184397;0,610253806
25%;graph;item;3;ew;weighted_voting;0,970744681;0,772163121;0,623009622
25%;graph;item;3;jn;weighted_voting;0,957446809;0,742907801;0,607882455
25%;graph;item;3;pa;weighted_voting;0,968085106;0,764184397;0,612271735
25%;graph;item;3;waa;weighted_voting;0,968085106;0,764184397;0,620365706
25%;graph;item;3;wcn;weighted_voting;0,968085106;0,764184397;0,620127026
25%;graph;item;3;wpa;weighted_voting;0,968085106;0,764184397;0,620109977
25%;graph;item;5;aa;weighted_voting;0,978723404;0,693617021;0,604903091
25%;graph;item;5;cn;weighted_voting;0,981382979;0,693617021;0,610253806
25%;graph;item;5;ew;weighted_voting;0,981382979;0,690957447;0,623009622
25%;graph;item;5;jn;weighted_voting;0,984042553;0,692021277;0,607882455
25%;graph;item;5;pa;weighted_voting;0,981382979;0,690957447;0,612271735
25%;graph;item;5;waa;weighted_voting;0,981382979;0,690957447;0,620365706
